release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
93.9,-1.76,53.89,5.53,14,1,1,0.0,0,1,0.24,0.42,0.8,0.68,0,0,0,0,6,0.0,0.0,0.0,94.8,2529,6.6,190,7
90.8,-1.52,53.75,5.59,9,1,1,0.0,0,1,0.22,0.51,0.7,1.53,0,0,1,1,5,177.0,82.1,12.0,92.2,2452,6.8,185,7
91.8,-1.7,53.78,5.59,4,1,1,1.0,0,0,0.2,0.31,-0.28,2.09,0,0,1,1,5,13.0,96.6,-9.0,92.9,2439,6.7,178,7
91.2,-1.79,54.0,5.64,14,1,1,0.0,0,0,0.35,0.44,0.65,1.17,0,0,0,0,5,0.0,0.0,0.0,92.1,2361,6.5,169,7
92.4,-1.54,53.97,5.69,9,0,1,0.0,1,2,0.32,0.32,0.43,1.91,0,0,0,2,4,6.0,89.6,-17.0,93.4,2674,6.5,144,7
91.6,-1.61,54.07,5.69,9,0,1,1.0,1,2,0.39,0.11,0.3,1.84,0,0,0,1,4,0.0,0.0,0.0,92.2,2592,6.4,117,7
90.1,-1.72,54.12,5.69,8,0,1,1.0,0,0,0.17,0.23,0.03,2.14,0,0,0,1,4,0.0,0.0,0.0,90.6,2497,6.4,118,7
93.8,-1.5,53.91,5.66,14,0,1,1.0,3,2,0.24,0.25,0.49,1.21,0,0,0,2,3,0.0,0.0,0.0,95.2,2509,6.6,161,4
93.9,-1.62,53.83,5.63,14,0,1,0.0,2,2,0.19,0.54,1.03,0.72,0,0,0,2,3,0.0,0.0,0.0,95.1,2571,6.7,191,4
94.2,-1.75,53.96,5.62,14,0,1,0.0,1,1,0.24,0.5,0.4,1.47,0,0,0,2,3,0.0,0.0,0.0,95.1,2533,6.5,179,4
93.4,-1.66,53.87,5.64,14,0,1,0.0,0,1,0.17,0.38,1.03,1.36,0,0,0,2,3,0.0,0.0,0.0,94.5,2555,6.6,186,4
91.8,-1.73,53.98,5.67,14,1,1,1.0,0,2,0.35,0.42,0.8,1.34,0,0,0,1,3,0.0,0.0,0.0,92.8,2527,6.5,164,4
91.7,-1.5,53.99,5.67,14,1,1,1.0,3,2,0.5,0.16,1.73,0.44,0,0,0,0,2,0.0,0.0,0.0,92.1,2561,6.5,156,4
93.3,-1.67,53.97,5.67,14,1,1,0.0,2,2,0.48,0.19,1.51,0.69,0,0,0,0,2,0.0,0.0,0.0,93.8,2552,6.5,166,4
93.5,-1.63,53.9,5.65,14,1,1,0.0,1,2,0.28,0.47,1.12,0.52,0,0,0,0,2,0.0,0.0,0.0,94.4,2579,6.6,199,4
93.5,-1.55,53.87,5.63,9,0,1,1.0,3,2,0.42,0.32,0.5,1.54,1,0,0,2,1,0.0,0.0,0.0,94.7,2580,6.6,172,0
93.5,-1.63,53.78,5.58,14,0,1,0.0,2,2,0.17,0.41,0.16,0.31,1,0,0,2,1,0.0,0.0,0.0,94.7,2612,6.7,195,0
92.7,-1.57,53.84,5.63,14,0,1,1.0,2,2,0.45,0.29,0.77,1.14,1,0,0,2,1,4.0,93.3,-18.0,94.2,2756,6.7,146,0
93.3,-1.65,53.98,5.64,14,0,1,1.0,0,1,0.21,0.58,0.11,1.33,1,0,0,2,1,3.0,97.2,-23.0,94.3,2547,6.5,201,0
92.4,-1.64,54.0,5.64,13,0,1,0.0,0,0,0.38,0.49,-0.35,0.8,0,1,1,0,1,0.0,0.0,0.0,93.2,2597,6.5,175,0
91.9,-1.55,53.84,5.58,14,0,1,0.0,2,1,0.28,0.3,0.66,0.24,0,0,1,0,1,0.0,0.0,0.0,92.9,2530,6.7,185,0
93.0,-1.53,53.72,5.56,14,0,1,0.0,0,1,0.4,0.29,2.06,0.33,0,0,1,0,1,0.0,0.0,0.0,94.0,2561,6.8,189,0
92.7,-1.31,53.9,5.57,14,0,1,1.0,2,2,0.51,0.38,0.85,2.01,0,0,0,2,7,0.0,0.0,0.0,93.6,2676,6.6,158,1
93.8,-1.57,53.98,5.54,14,0,1,1.0,2,1,0.25,0.62,0.51,1.37,0,0,0,2,7,0.0,0.0,0.0,94.6,2562,6.5,202,1
