pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
SL,74.6,3.14,54.37,5.22,6.0,1,0,1.0,0,0,-1.03,-0.38,0.78,2.68,0,0,0,2,5,0.0,0.0,0.0,74.3,2028.0,6.1,297.0,2
FF,91.1,3.04,54.38,5.27,3.0,1,0,1.0,0,0,1.1,1.1,0.3,3.16,0,0,0,1,5,0.0,0.0,0.0,91.0,2211.0,6.1,110.0,2
SL,74.3,3.0,54.26,5.21,12.0,1,0,1.0,0,0,-0.6,-0.6,0.99,2.65,0,0,0,0,5,0.0,0.0,0.0,74.1,2057.0,6.2,332.0,2
SL,76.0,3.06,54.74,5.28,7.0,1,0,1.0,0,0,-1.19,-0.48,-0.79,2.0,0,0,0,2,4,0.0,0.0,0.0,75.0,2241.0,5.8,323.0,1
SL,72.5,3.04,54.83,5.32,12.0,1,0,0.0,0,0,-0.95,-0.4,2.95,3.8,0,0,0,1,4,0.0,0.0,0.0,71.6,2057.0,5.7,318.0,1
SL,73.4,3.03,54.42,5.21,8.0,1,0,0.0,0,0,-1.25,-0.29,0.01,1.94,0,0,0,0,4,45.0,102.1,0.0,73.1,2102.0,6.1,314.0,1
SL,74.1,2.91,54.41,5.26,7.0,0,0,1.0,0,0,-1.23,-0.32,-0.66,1.91,0,0,0,2,3,0.0,0.0,0.0,73.4,2201.0,6.1,322.0,1
SL,72.9,3.11,54.6,5.24,8.0,1,0,0.0,0,0,-1.13,-0.4,-0.23,1.54,0,0,0,1,3,0.0,50.3,-81.0,72.0,2098.0,5.9,311.0,1
CH,87.9,3.03,54.11,5.21,3.0,1,0,1.0,0,0,0.99,1.23,0.48,2.99,0,0,0,0,3,0.0,0.0,0.0,87.9,2129.0,6.4,115.0,1
CH,86.0,3.15,54.12,4.89,9.0,1,0,1.0,0,0,1.47,0.19,0.77,1.71,0,0,0,2,2,206.0,68.7,40.0,86.1,1902.0,6.4,97.0,-1
CH,86.1,3.05,54.11,5.01,13.0,1,0,0.0,0,0,1.58,-0.12,-0.62,1.0,0,0,0,1,2,0.0,0.0,0.0,86.0,1964.0,6.4,12.0,-1
FF,91.9,2.99,54.14,5.18,4.0,1,0,1.0,0,0,1.17,1.02,-0.3,2.38,0,0,0,0,2,0.0,0.0,0.0,92.0,2329.0,6.4,112.0,-1
CH,82.3,3.11,54.46,5.01,14.0,1,0,1.0,0,0,1.62,-0.03,1.08,2.03,0,0,0,0,2,0.0,0.0,0.0,81.8,1928.0,6.0,96.0,0
FF,92.1,3.03,54.17,5.31,7.0,1,0,1.0,0,0,1.34,1.08,-0.75,2.08,0,0,0,2,1,0.0,0.0,0.0,91.8,2334.0,6.3,122.0,0
CH,86.4,3.23,54.22,5.02,6.0,1,0,1.0,0,0,1.63,-0.1,0.74,2.75,0,0,1,0,1,137.0,69.5,69.0,86.2,1991.0,6.3,90.0,0
FF,92.2,3.02,54.27,5.33,12.0,0,0,0.0,0,0,1.14,1.34,0.53,3.46,0,0,0,0,1,0.0,0.0,0.0,91.9,2343.0,6.2,117.0,0
FF,94.5,3.11,54.38,5.32,2.0,1,0,1.0,0,0,1.31,0.79,-0.01,3.03,0,0,1,2,4,0.0,0.0,0.0,94.1,0.0,6.1,0.0,2
FF,95.0,2.98,54.27,5.28,2.0,1,0,1.0,0,0,1.0,1.04,0.25,3.0,0,0,0,2,4,0.0,0.0,0.0,94.5,2501.0,6.2,124.0,2
SL,77.6,2.73,54.4,5.3,7.0,1,0,1.0,0,0,-0.8,-0.38,-0.68,1.77,1,1,1,2,4,0.0,0.0,0.0,77.5,2098.0,6.1,322.0,6
CH,87.2,3.1,54.14,5.16,6.0,1,0,1.0,0,0,1.59,0.27,0.3,2.3,0,1,1,2,4,7.0,43.0,-19.0,87.0,2153.0,6.4,100.0,6
SL,77.2,3.04,54.24,5.3,13.0,1,0,0.0,0,0,-0.92,-0.4,-1.34,1.39,0,0,1,2,4,0.0,0.0,0.0,77.2,2385.0,6.3,306.0,6
CH,85.4,3.08,54.2,4.95,8.0,1,0,0.0,0,0,1.7,0.12,-0.07,1.56,0,0,0,2,4,39.0,68.3,2.0,85.1,2036.0,6.3,101.0,6
FF,90.9,3.02,54.04,5.19,9.0,1,0,1.0,0,0,1.3,0.86,0.76,1.9,0,0,0,1,4,198.0,70.9,38.0,91.3,2201.0,6.5,115.0,6
FF,92.8,3.0,54.3,5.23,12.0,0,0,0.0,0,0,1.2,1.09,1.9,3.39,0,0,0,0,4,0.0,0.0,0.0,92.5,2395.0,6.2,115.0,6
CH,87.6,3.1,54.04,5.1,13.0,1,0,0.0,0,0,1.52,0.14,-0.84,1.81,0,1,1,2,3,0.0,0.0,0.0,87.8,2170.0,6.5,99.0,6
SL,76.7,3.13,54.5,5.18,4.0,1,0,1.0,0,0,-1.06,-0.3,-0.29,2.41,0,0,1,2,3,0.0,0.0,0.0,76.1,2218.0,6.0,307.0,6
CH,85.2,3.11,54.3,4.98,7.0,1,0,1.0,0,0,1.48,0.05,-0.34,2.08,0,0,1,1,3,0.0,0.0,0.0,84.8,2010.0,6.2,101.0,6
FF,93.3,3.11,54.25,5.18,12.0,1,0,1.0,0,0,1.12,0.93,1.08,2.79,0,0,1,0,3,0.0,0.0,0.0,93.2,2193.0,6.2,118.0,6
