"","Plate X","Plate Y"
"903",0.84,34.92
"904",1.92,47.64
"905",2.16,31.08
"906",7.56,43.32
"907",11.16,29.16
"908",-17.88,10.44
"909",5.4,37.68
"910",9.24,48.84
"911",3.36,38.28
"912",-2.64,12
"913",8.64,21.84
"914",6.84,28.32
"915",-3.84,21.24
"916",-5.16,9
"917",-12.84,27.48
"918",-7.56,33.48
"919",11.52,33.84
"920",-2.88,40.32
"921",6.6,27.36
"922",6.6,27.36
"923",3.24,24.36
"924",-6.12,38.4
"925",-15.24,24.36
"926",-2.04,23.64
"927",4.44,22.8
"928",-12.6,23.64
"929",-4.8,38.28
"930",-2.16,29.52
"931",-20.64,15.6
"932",-17.28,15.48
"933",-16.56,15.48
"934",-12.24,16.2
"935",2.76,25.44
"936",-6.24,19.2
"937",-0.36,22.56
"938",6.72,25.08
"939",4.2,17.4
"940",-12.84,23.64
"941",11.4,30.6
"942",4.92,20.16
"943",-5.04,19.44
"944",-11.88,19.56
"945",-9.96,40.2
"946",-10.44,34.2
"947",3.48,20.28
"948",-5.88,25.44
"949",-14.16,17.16
"950",2.28,28.8
"951",8.16,22.08
"952",-9.24,22.08
"953",-19.32,19.44
"954",-3.36,35.4
"955",-3.6,45.72
"956",6.6,48.36
"957",-3.72,20.04
"958",-6.36,21.96
"959",-5.28,17.04
"960",4.2,33.72
"961",-6.96,40.2
"962",13.56,16.56
"963",4.08,42.96
"964",9.72,13.44
"965",-4.08,24
"966",1.92,27.48
"967",-10.32,14.28
"968",11.4,30.96
"969",14.88,36
"970",1.44,16.2
"971",-3.36,16.92
"972",-3.96,25.44
"973",-12.36,11.28
"974",-1.68,24.72
"975",-0.24,21.6
"976",13.44,28.2
"977",-3.36,11.4
"978",-12.96,17.76
"979",9,26.28
"980",2.52,35.28
"981",13.32,31.8
"982",9.24,42.48
"983",-1.68,32.88
"984",3.48,19.92
"985",3.48,25.08
"986",-10.68,19.44
"987",7.32,32.28
"988",2.52,38.76
"989",4.32,10.68
"990",0.12,41.76
"991",5.88,20.52
"992",14.4,24.96
"993",7.68,39
"994",4.44,19.92
"995",1.68,42.48
"996",9.96,18
"997",-9.96,33.6
"998",15,21.12
"999",-10.68,32.4
"1000",5.04,41.04
"1001",11.76,29.64
"1002",-8.4,24.12
"1003",15.72,31.32
"1004",-4.32,15.84
"1005",0.72,24.96
"1006",-2.88,26.04
"1007",0.6,32.16
"1008",-8.88,20.28
"1009",8.64,19.92
"1010",-9.12,14.04
"1011",13.68,30
"1012",11.76,28.8
"1013",7.92,40.56
"1014",7.44,47.4
"1015",8.64,35.52
"1016",-6.6,14.28
"1017",-6.24,30.24
"1018",2.88,46.68
"1019",-5.16,47.76
"1020",-6.72,27.24
"1021",-28.68,18
"1022",-3.96,36.12
"1023",6.48,22.56
"1024",-8.76,34.2
"1025",-2.04,30.96
"1026",8.76,31.68
"1027",9.84,27.12
"1028",6.12,23.16
"1029",-0.24,20.16
"1030",0.6,36.36
"1031",-0.36,30.12
"1032",16.68,20.64
"1033",-14.16,22.8
"1034",-4.32,34.92
"1035",-8.64,13.56
"1036",-7.92,21.84
"1037",-13.68,23.64
"1038",0.96,40.44
"1039",9.24,30.72
"1040",6.24,39.48
"1041",-6.6,32.76
"1042",0.6,46.92
"1043",-2.04,36.72
"1044",-4.08,41.52
"1045",-5.04,27.12
"1046",-30.24,9.24
"1047",-11.04,24.36
"1048",-21.48,13.44
"1049",1.8,35.88
"1050",14.16,33.12
"1051",-12,45.6
"1052",-10.44,27.6
"1053",-5.88,36.48
